ZipCode,zip_usa_ZIP_CODE,zip_usa_PO_NAME,zip_usa_ZIP_TYPE,Farallon Explanation
94035,94035,Mountain View,Zip Code Area,USPS Look Up tool indicates these are Post Offices or large volume customers
95192,95192,San Jose,Zip Code Area,USPS Look Up tool indicates these are Post Offices or large volume customers
95141,95141,San Jose,Zip Code Area,Not in Adam source data. Point intersects with zip 95037 in BAAQMD data
95004,95004,Aromas,Zip Code Area,Created
94562,94562,Oakville,Post Office or large volume customer,
94581,94581,Napa,Post Office or large volume customer,
95433,95433,El Verano,Post Office or large volume customer,
95487,95487,Vineburg,Post Office or large volume customer,
94926,94926,Rohnert Park,Post Office or large volume customer,
94927,94927,Rohnert Park,Post Office or large volume customer,
95402,95402,Santa Rosa,Post Office or large volume customer,
95406,95406,Santa Rosa,Post Office or large volume customer,
95416,95416,Boyes Hot Springs,Post Office or large volume customer,
94912,94912,San Rafael,Post Office or large volume customer,
94913,94913,San Rafael,Post Office or large volume customer,
94915,94915,San Rafael,Post Office or large volume customer,
94942,94942,Mill Valley,Post Office or large volume customer,
94948,94948,Novato,Post Office or large volume customer,
94953,94953,Petaluma,Post Office or large volume customer,
94975,94975,Petaluma,Post Office or large volume customer,
94017,94017,Daly City,Post Office or large volume customer,
94083,94083,South San Francisco,Post Office or large volume customer,
94018,94018,El Granada,Post Office or large volume customer,
94011,94011,Burlingame,Post Office or large volume customer,
94302,94302,Palo Alto,Post Office or large volume customer,
94309,94309,Palo Alto,Post Office or large volume customer,
95044,95044,Redwood Estates,Post Office or large volume customer,
94026,94026,Menlo Park,Post Office or large volume customer,
94039,94039,Mountain View,Post Office or large volume customer,
94042,94042,Mountain View,Post Office or large volume customer,
94064,94064,Redwood City,Post Office or large volume customer,
94119,94119,San Francisco,Post Office or large volume customer,
94120,94120,San Francisco,Post Office or large volume customer,
94125,94125,San Francisco,Post Office or large volume customer,
94126,94126,San Francisco,Post Office or large volume customer,
94137,94137,San Francisco,Post Office or large volume customer,
94188,94188,San Francisco,Post Office or large volume customer,
94143,94143,San Francisco,Post Office or large volume customer,
94088,94088,Sunnyvale,Post Office or large volume customer,
95052,95052,Santa Clara,Post Office or large volume customer,
95056,95056,Santa Clara,Post Office or large volume customer,
94604,94604,Oakland,Post Office or large volume customer,
94614,94614,Oakland,Post Office or large volume customer,
94615,94615,Oakland,Post Office or large volume customer,
94623,94623,Oakland,Post Office or large volume customer,
94662,94662,Emeryville,Post Office or large volume customer,
94666,94666,Oakland,Post Office or large volume customer,
94540,94540,Hayward,Post Office or large volume customer,
94557,94557,Hayward,Post Office or large volume customer,
94537,94537,Fremont,Post Office or large volume customer,
95101,95101,San Jose,Post Office or large volume customer,
95103,95103,San Jose,Post Office or large volume customer,
95106,95106,San Jose,Post Office or large volume customer,
95108,95108,San Jose,Post Office or large volume customer,
95109,95109,San Jose,Post Office or large volume customer,
95115,95115,San Jose,Post Office or large volume customer,
95150,95150,San Jose,Post Office or large volume customer,
95021,95021,Gilroy,Post Office or large volume customer,
95038,95038,Morgan Hill,Post Office or large volume customer,
95042,95042,New Almaden,Post Office or large volume customer,
95153,95153,San Jose,Post Office or large volume customer,
95160,95160,San Jose,Post Office or large volume customer,
95193,95193,San Jose,Post Office or large volume customer,
94701,94701,Berkeley,Post Office or large volume customer,
94807,94807,Richmond,Post Office or large volume customer,
94808,94808,Richmond,Post Office or large volume customer,
94802,94802,Richmond,Post Office or large volume customer,
94522,94522,Concord,Post Office or large volume customer,
94524,94524,Concord,Post Office or large volume customer,
94527,94527,Concord,Post Office or large volume customer,
94570,94570,Moraga,Post Office or large volume customer,
94011,94011,Burlingame,Post Office or large volume customer,
95055,95055,Santa Clara,Post Office or large volume customer,
95408,,,,Not a valid zip according to USPS zip lookup tool
94059,,,,Not a valid zip according to USPS zip lookup tool
94106,,,,Not a valid zip according to USPS zip lookup tool
94135,,,,Not a valid zip according to USPS zip lookup tool
94625,,,,Not a valid zip according to USPS zip lookup tool
94626,,,,Not a valid zip according to USPS zip lookup tool
94627,,,,Not a valid zip according to USPS zip lookup tool
95114,,,,Not a valid zip according to USPS zip lookup tool
95198,,,,Not a valid zip according to USPS zip lookup tool